source,target,weight
0,1,0.24461193915032123
0,3,0.3796013204835561
0,4,0.17792840034599816
0,5,0.12896524549023045
0,8,0.11910367119267605
0,9,0.4704814466613084
0,12,0.5908519496738258
0,17,0.2740061934843996
0,19,0.13024093009702042
0,20,0.3238644113580521
0,21,0.12413551839640276
0,22,0.15102961889460173
0,27,0.19111976586769014
0,30,0.2300226336247456
0,31,0.30489592913484637
0,32,0.23456033243898422
0,37,0.13133793577791053
0,38,0.2764893143459701
0,41,0.17412456565021395
0,44,0.3306824473351272
0,47,0.12199661289922974
0,48,0.1274727285250909
0,49,0.11204570165769617
0,53,0.12497722454046631
0,54,0.24977447059096206
0,56,0.39249700354961026
0,58,0.10707558924621446
0,59,0.170081464608024
0,61,0.12292503087347817
0,63,0.12307025291953713
0,64,0.15003110759295082
0,65,0.12224848615042455
0,67,0.41598909251405813
0,70,0.3473171498642394
0,71,0.2656496007892492
0,72,0.21818992028036094
0,73,0.12994284877510076
0,74,0.17471710564404036
0,75,0.23468553437876338
0,76,0.1775296642828866
0,77,0.14068843779032886
0,80,0.5329864438561358
0,82,0.1162880035613117
0,83,0.25440675385847766
0,88,0.12999125559182623
0,89,0.5040560080153638
0,92,0.128329818921023
0,93,0.31484419660020635
0,94,0.13280203922393616
0,95,0.2764482048134133
0,97,0.164290936993886
0,99,0.2528251780450283
0,102,0.31624275480354586
0,104,0.13920318008617039
0,105,0.28675157346790836
0,107,0.25674196231637053
0,112,0.14817730818548425
0,113,0.15533618611417668
0,115,0.5392044516022186
0,117,0.1163093093107607
0,118,0.15805833069929073
0,119,0.13387167125994043
0,121,0.14143801944305803
0,124,0.22832331220452023
0,125,0.19881708356493447
0,126,0.13182451398307732
0,127,0.18051904815616315
0,131,0.47077689951469237
0,137,0.20978378555115146
0,138,0.33779041464130993
0,139,0.3615976294734592
0,141,0.17207807761146376
0,142,0.14549447004179894
0,144,0.14354084678269355
0,145,0.14831173270988332
0,147,0.33604188120831036
0,148,0.3557529436287814
0,149,0.14235190993572705
0,150,0.12453027424425193
0,151,0.33086819862329647
0,162,0.1475428233152348
0,163,0.13539207562833408
0,164,0.2722479028556922
0,165,0.2203109258489677
0,171,0.4019183793369585
0,172,0.5488699314768426
0,179,0.20970716575627307
0,180,0.14828762024930842
0,181,0.1454525590911816
0,182,0.11890177037283436
0,183,0.12495163440336884
0,184,0.36603743264328703
0,188,0.30792597772781133
0,190,0.30636429101189183
0,193,0.21798250745933573
0,194,0.13936739342394566
0,197,0.20994484580066428
1,3,0.21352357144015063
1,4,0.4233252982881977
1,12,0.3606975540381069
1,15,0.14847352482607973
1,16,0.13745308303722906
1,17,0.8509470104253405
1,19,0.11446379715857063
1,20,0.3174840684709107
1,22,0.12627536435667272
1,23,0.1576824886794347
1,26,0.1454475573088805
1,27,0.28243653805516833
1,31,0.1270159284206785
1,35,0.13844126222620542
1,36,0.12536783825241143
1,38,0.24550538271118985
1,42,0.1776836410342333
1,43,0.13116359804533678
1,44,0.5024403083381557
1,46,0.18684805219622247
1,48,0.11994036561875956
1,52,0.497804598832131
1,53,0.1502952917957303
1,56,0.5702448407397529
1,58,0.14336194946694508
1,60,0.18433537959346805
1,62,0.1297965554192329
1,63,0.24216013213658796
1,64,0.16597135400610116
1,67,0.15437322371974962
1,68,0.39728072564299005
1,73,0.1908971275018729
1,74,0.36226326669453274
1,77,0.2227624754950227
1,79,0.6632722271588445
1,80,0.15012297692157966
1,83,0.30667808735711005
1,87,0.43814297076324377
1,88,0.12838026045655282
1,89,0.15820619729359056
1,92,0.10858457518851286
1,93,0.12294164399064696
1,95,0.4392275060956924
1,100,0.11137829961935661
1,102,0.19109173230408522
1,103,0.5762981907461563
1,104,0.22107318877840762
1,106,0.2815039684527559
1,107,0.16741256169545396
1,112,0.2907881093389812
1,113,0.1848018291173397
1,115,0.11388125289127726
1,120,0.2344025961183859
1,121,0.12295094894898587
1,125,0.17695146087996022
1,126,0.1202685092383611
1,129,0.1487233774892978
1,130,0.1910577713437858
1,134,0.13205792863105692
1,136,0.3154570642155732
1,137,0.23697253918043634
1,140,0.34704196468208254
1,141,0.12963521244623874
1,144,0.12169512853407652
1,145,0.5683048488665458
1,147,0.10693202041689741
1,148,0.24180023885071636
1,150,0.17555288493240298
1,151,0.15958328251695847
1,154,0.146196691243982
1,157,0.15582186309515467
1,161,0.2748101466658498
1,164,0.2928408910703943
1,165,0.16778317099239556
1,166,0.10753451597233589
1,168,0.40057814631129673
1,170,0.3381805282235548
1,172,0.5409525150695406
1,175,0.3103253472168342
1,177,0.5315796013624194
1,183,0.17428172054692992
1,185,0.14573471225007897
1,186,0.31669106019963
1,188,0.21001542243154267
1,189,0.16505850371428515
1,192,0.18204793048778298
1,194,0.26540344668782134
1,197,0.13934627393316373
2,4,0.18790201489299718
2,6,0.1597076069912308
2,7,0.1126272548919705
2,9,0.13700294417860434
2,11,0.2073483301589225
2,13,0.11427682174860526
2,14,0.1378139817849709
2,18,0.23864461589519606
